,gene_symbol,length,ctrl_1,ctrl_2,ctrl_3,treat_1,treat_2,treat_3
ENSGDEMO000435,GENE0435,1988,9,77,134,102,86,96
ENSGDEMO000436,GENE0436,3521,210,198,110,374,282,136
ENSGDEMO000437,GENE0437,1523,52,228,51,81,130,47
ENSGDEMO000438,GENE0438,4924,11,28,51,38,34,25
ENSGDEMO000439,GENE0439,1645,45,132,121,170,45,208
ENSGDEMO000440,GENE0440,4186,6,14,21,6,12,16
ENSGDEMO000441,GENE0441,3278,21,69,10,68,38,63
ENSGDEMO000442,GENE0442,4488,86,148,139,238,117,258
ENSGDEMO000443,GENE0443,6672,79,201,123,71,116,154
ENSGDEMO000444,GENE0444,6399,82,146,154,269,104,212
ENSGDEMO000445,GENE0445,4216,15,19,23,33,18,16
ENSGDEMO000446,GENE0446,800,14,25,20,29,24,29
ENSGDEMO000447,GENE0447,6037,77,61,103,50,107,48
ENSGDEMO000448,GENE0448,1429,110,153,143,161,62,148
ENSGDEMO000449,GENE0449,7965,288,234,384,281,391,353
ENSGDEMO000450,GENE0450,7013,182,153,133,335,90,87
ENSGDEMO000451,GENE0451,7237,36,49,51,52,32,21
ENSGDEMO000452,GENE0452,1688,20,25,24,68,24,60
ENSGDEMO000453,GENE0453,7142,86,42,85,185,78,75
ENSGDEMO000454,GENE0454,5366,145,83,101,119,66,148
ENSGDEMO000455,GENE0455,6134,41,74,122,73,50,65
ENSGDEMO000456,GENE0456,2896,217,241,58,87,123,292
ENSGDEMO000457,GENE0457,856,21,51,59,132,26,37
ENSGDEMO000458,GENE0458,6428,170,239,125,501,101,238
ENSGDEMO000459,GENE0459,4615,56,60,124,223,95,116
ENSGDEMO000460,GENE0460,4677,79,87,96,65,75,45
ENSGDEMO000461,GENE0461,2324,45,44,44,54,38,56
ENSGDEMO000462,GENE0462,4204,59,85,135,65,62,63
ENSGDEMO000463,GENE0463,5949,188,169,97,175,161,224
ENSGDEMO000464,GENE0464,5299,66,98,85,225,54,58
ENSGDEMO000465,GENE0465,5760,50,35,72,195,216,187
ENSGDEMO000466,GENE0466,915,4,8,8,4,1,2
ENSGDEMO000467,GENE0467,833,201,657,175,279,141,325
ENSGDEMO000468,GENE0468,1468,127,61,76,222,114,142
ENSGDEMO000469,GENE0469,2217,65,33,6,22,28,19
ENSGDEMO000470,GENE0470,3745,578,545,415,1003,492,749
ENSGDEMO000471,GENE0471,2406,59,88,51,55,97,118
ENSGDEMO000472,GENE0472,1513,95,160,147,163,84,192
ENSGDEMO000473,GENE0473,4545,631,855,508,660,306,706
ENSGDEMO000474,GENE0474,2756,14,12,19,13,6,24
ENSGDEMO000475,GENE0475,7901,90,167,129,148,166,248
ENSGDEMO000476,GENE0476,4294,18,38,18,18,29,26
ENSGDEMO000477,GENE0477,6517,81,245,101,179,48,90
ENSGDEMO000478,GENE0478,5326,107,65,67,52,183,98
ENSGDEMO000479,GENE0479,1631,79,63,98,87,61,145
ENSGDEMO000480,GENE0480,3201,57,83,129,208,124,110
ENSGDEMO000481,GENE0481,1652,183,450,267,434,152,240
ENSGDEMO000482,GENE0482,7263,11,4,14,23,10,16
ENSGDEMO000483,GENE0483,1061,95,111,111,111,94,121
ENSGDEMO000484,GENE0484,7739,54,126,172,169,93,92
ENSGDEMO000485,GENE0485,901,116,87,60,147,121,128
ENSGDEMO000486,GENE0486,3528,71,53,155,226,75,97
ENSGDEMO000487,GENE0487,4225,41,51,28,67,27,23
ENSGDEMO000488,GENE0488,4574,142,81,171,272,178,210
ENSGDEMO000489,GENE0489,7813,224,324,286,501,235,97
ENSGDEMO000490,GENE0490,2567,64,123,168,72,47,68
ENSGDEMO000491,GENE0491,7731,4,13,13,29,15,13
ENSGDEMO000492,GENE0492,961,187,465,328,636,237,934
ENSGDEMO000493,GENE0493,1346,208,536,161,651,347,399
ENSGDEMO000494,GENE0494,5882,69,174,384,137,120,272
ENSGDEMO000495,GENE0495,7638,91,491,193,56,190,224
ENSGDEMO000496,GENE0496,1220,148,132,172,289,270,582
ENSGDEMO000497,GENE0497,3586,183,122,157,121,251,192
ENSGDEMO000498,GENE0498,3322,241,374,384,161,221,192
ENSGDEMO000499,GENE0499,7477,40,59,64,39,67,71
ENSGDEMO000500,GENE0500,2309,111,394,163,134,69,154
ENSGDEMO000501,GENE0501,4318,56,46,198,173,65,197
ENSGDEMO000502,GENE0502,3183,102,291,138,238,82,306
ENSGDEMO000503,GENE0503,7245,59,33,58,73,46,85
ENSGDEMO000504,GENE0504,2889,59,62,72,202,54,51
ENSGDEMO000505,GENE0505,2496,87,210,111,73,168,151
ENSGDEMO000506,GENE0506,2846,78,108,30,65,61,117
ENSGDEMO000507,GENE0507,3469,119,154,156,120,56,161
ENSGDEMO000508,GENE0508,7040,135,116,93,94,140,111
ENSGDEMO000509,GENE0509,5644,307,329,332,651,195,179
ENSGDEMO000510,GENE0510,2778,106,85,163,92,68,109
ENSGDEMO000511,GENE0511,5876,73,36,54,166,61,104
ENSGDEMO000512,GENE0512,5731,1219,407,741,1179,952,828
ENSGDEMO000513,GENE0513,4938,86,148,137,256,144,201
ENSGDEMO000514,GENE0514,6167,68,103,68,20,69,66
ENSGDEMO000515,GENE0515,1008,69,39,54,105,43,78
ENSGDEMO000516,GENE0516,3975,197,207,225,441,148,145
ENSGDEMO000517,GENE0517,7620,274,247,475,810,471,902
ENSGDEMO000518,GENE0518,7763,66,41,58,79,55,37
ENSGDEMO000519,GENE0519,2888,4,6,5,1,1,9
ENSGDEMO000520,GENE0520,6624,43,135,111,130,96,108
ENSGDEMO000521,GENE0521,1398,18,9,6,12,5,12
ENSGDEMO000522,GENE0522,7291,49,254,178,391,48,187
ENSGDEMO000523,GENE0523,6334,309,354,296,588,256,383
ENSGDEMO000524,GENE0524,2008,96,125,173,165,67,100
ENSGDEMO000525,GENE0525,5391,28,128,27,67,50,47
ENSGDEMO000526,GENE0526,6938,68,40,68,243,95,118
ENSGDEMO000527,GENE0527,4782,4,28,27,28,37,27
ENSGDEMO000528,GENE0528,3426,6,19,27,45,24,35
ENSGDEMO000529,GENE0529,6548,157,99,79,212,154,202
ENSGDEMO000530,GENE0530,7330,71,69,114,59,83,93
ENSGDEMO000531,GENE0531,3571,155,155,194,285,92,67
ENSGDEMO000532,GENE0532,4782,249,168,189,312,151,122
ENSGDEMO000533,GENE0533,3524,796,123,236,605,499,996
ENSGDEMO000534,GENE0534,5260,29,48,31,54,49,35
ENSGDEMO000535,GENE0535,1606,267,731,181,481,367,155
ENSGDEMO000536,GENE0536,5105,99,120,171,163,185,108
ENSGDEMO000537,GENE0537,5564,15,6,17,13,13,11
ENSGDEMO000538,GENE0538,5342,177,520,515,498,141,631
ENSGDEMO000539,GENE0539,6581,43,77,69,124,75,25
ENSGDEMO000540,GENE0540,7661,215,49,128,202,94,217
ENSGDEMO000541,GENE0541,1385,293,465,198,260,216,260
ENSGDEMO000542,GENE0542,3662,30,79,83,61,71,55
ENSGDEMO000543,GENE0543,5255,112,207,158,192,123,271
ENSGDEMO000544,GENE0544,7017,7,31,16,11,11,20
ENSGDEMO000545,GENE0545,898,175,337,68,229,212,370
ENSGDEMO000546,GENE0546,630,134,289,146,298,186,419
ENSGDEMO000547,GENE0547,1346,16,15,35,38,7,15
ENSGDEMO000548,GENE0548,4343,21,32,43,112,10,25
ENSGDEMO000549,GENE0549,704,89,111,33,99,52,104
ENSGDEMO000550,GENE0550,4577,37,64,55,37,35,49
ENSGDEMO000551,GENE0551,7019,97,129,39,92,50,121
ENSGDEMO000552,GENE0552,5503,307,158,210,248,212,203
ENSGDEMO000553,GENE0553,2006,73,59,84,75,41,36
ENSGDEMO000554,GENE0554,1760,1031,181,308,466,311,526
ENSGDEMO000555,GENE0555,2946,11,37,24,25,27,40
ENSGDEMO000556,GENE0556,7871,64,239,94,93,136,249
ENSGDEMO000557,GENE0557,3172,27,144,70,167,78,104
ENSGDEMO000558,GENE0558,3433,169,496,241,326,219,338
ENSGDEMO000559,GENE0559,7860,1002,465,1052,534,299,583
ENSGDEMO000560,GENE0560,3603,68,37,69,63,75,99
ENSGDEMO000561,GENE0561,7605,148,188,111,143,188,52
ENSGDEMO000562,GENE0562,1835,178,200,473,534,321,777
ENSGDEMO000563,GENE0563,2850,41,30,18,24,15,21
ENSGDEMO000564,GENE0564,6891,190,768,222,405,425,268
ENSGDEMO000565,GENE0565,1998,119,195,124,55,60,60
ENSGDEMO000566,GENE0566,7521,177,133,174,245,96,238
ENSGDEMO000567,GENE0567,6704,136,327,196,181,259,288
ENSGDEMO000568,GENE0568,3217,22,141,76,122,56,106
ENSGDEMO000569,GENE0569,604,16,11,11,5,9,11
ENSGDEMO000570,GENE0570,7951,248,209,149,637,164,238
ENSGDEMO000571,GENE0571,1632,96,235,171,89,108,186
ENSGDEMO000572,GENE0572,6480,98,206,135,88,145,66
ENSGDEMO000573,GENE0573,5259,214,359,241,398,168,255
ENSGDEMO000574,GENE0574,775,228,650,153,441,319,437
ENSGDEMO000575,GENE0575,2940,11,36,14,38,24,31
ENSGDEMO000576,GENE0576,3154,342,348,124,608,299,425
ENSGDEMO000577,GENE0577,1684,22,27,30,40,34,96
ENSGDEMO000578,GENE0578,5349,0,8,1,4,4,6
ENSGDEMO000579,GENE0579,2906,19,101,83,49,40,80
ENSGDEMO000580,GENE0580,7203,124,562,143,267,197,244
ENSGDEMO000581,GENE0581,7084,16,35,38,47,22,6
ENSGDEMO000582,GENE0582,2782,8,44,1,14,34,42
ENSGDEMO000583,GENE0583,7115,29,46,34,34,19,38
ENSGDEMO000584,GENE0584,5011,10,29,18,13,11,25
ENSGDEMO000585,GENE0585,7532,160,138,63,174,138,159
ENSGDEMO000586,GENE0586,1327,91,79,126,53,51,126
ENSGDEMO000587,GENE0587,7092,5,3,2,10,4,4
ENSGDEMO000588,GENE0588,6601,63,36,48,119,116,69
ENSGDEMO000589,GENE0589,1839,482,505,325,1044,295,930
ENSGDEMO000590,GENE0590,6220,41,22,26,44,11,22
ENSGDEMO000591,GENE0591,5705,45,137,136,223,125,155
ENSGDEMO000592,GENE0592,1524,127,214,389,79,87,190
ENSGDEMO000593,GENE0593,7822,174,273,306,839,251,519
ENSGDEMO000594,GENE0594,2457,193,249,259,372,162,313
ENSGDEMO000595,GENE0595,7363,217,105,164,385,106,188
ENSGDEMO000596,GENE0596,5927,148,228,301,563,347,316
ENSGDEMO000597,GENE0597,4675,201,234,283,262,152,300
ENSGDEMO000598,GENE0598,3017,50,88,164,165,123,110
ENSGDEMO000599,GENE0599,1508,52,42,87,63,31,63
ENSGDEMO000600,GENE0600,1599,135,36,181,254,148,103
ENSGDEMO000601,GENE0601,7186,96,115,128,174,84,241
ENSGDEMO000602,GENE0602,2855,94,47,42,17,61,66
ENSGDEMO000603,GENE0603,7273,54,76,132,119,23,151
ENSGDEMO000604,GENE0604,5189,58,84,110,222,93,63
ENSGDEMO000605,GENE0605,832,24,90,48,24,72,68
ENSGDEMO000606,GENE0606,3223,226,171,248,335,161,207
ENSGDEMO000607,GENE0607,7330,239,145,228,165,206,237
ENSGDEMO000608,GENE0608,1664,87,91,69,360,100,162
ENSGDEMO000609,GENE0609,1081,2,10,13,25,21,27
ENSGDEMO000610,GENE0610,1367,167,434,567,366,222,697
ENSGDEMO000611,GENE0611,834,44,54,47,163,117,193
ENSGDEMO000612,GENE0612,1661,287,429,166,471,133,213
ENSGDEMO000613,GENE0613,7156,223,261,276,296,132,664
ENSGDEMO000614,GENE0614,2271,41,40,64,21,56,66
ENSGDEMO000615,GENE0615,2118,179,51,171,265,195,117
ENSGDEMO000616,GENE0616,4341,51,51,29,108,53,48
ENSGDEMO000617,GENE0617,1089,94,287,380,260,74,255
ENSGDEMO000618,GENE0618,3096,139,112,134,250,125,104
ENSGDEMO000619,GENE0619,7377,44,25,80,33,49,34
ENSGDEMO000620,GENE0620,6913,210,376,226,360,210,480
ENSGDEMO000621,GENE0621,4525,39,29,39,99,59,35
ENSGDEMO000622,GENE0622,7426,345,587,315,190,278,529
ENSGDEMO000623,GENE0623,4196,77,146,47,85,81,138
ENSGDEMO000624,GENE0624,5376,68,43,80,56,101,48
ENSGDEMO000625,GENE0625,3408,30,34,22,22,17,30
ENSGDEMO000626,GENE0626,5775,162,165,123,296,244,302
ENSGDEMO000627,GENE0627,3697,44,32,40,152,61,99
ENSGDEMO000628,GENE0628,7221,71,206,108,475,111,213
ENSGDEMO000629,GENE0629,3212,59,78,57,65,23,132
ENSGDEMO000630,GENE0630,5370,34,57,39,37,61,45
ENSGDEMO000631,GENE0631,818,316,268,195,341,179,76
ENSGDEMO000632,GENE0632,3815,34,120,62,166,103,53
ENSGDEMO000633,GENE0633,6003,12,25,24,80,32,32
ENSGDEMO000634,GENE0634,4842,42,39,109,121,38,17
ENSGDEMO000635,GENE0635,6886,348,713,316,1038,543,522
ENSGDEMO000636,GENE0636,1900,175,278,84,92,129,376
ENSGDEMO000637,GENE0637,5528,293,244,289,329,190,323
ENSGDEMO000638,GENE0638,5988,51,123,73,88,73,63
ENSGDEMO000639,GENE0639,5574,98,340,222,209,239,130
ENSGDEMO000640,GENE0640,1302,54,65,33,73,41,38
ENSGDEMO000641,GENE0641,2340,267,386,349,384,283,401
ENSGDEMO000642,GENE0642,7628,5,9,2,9,8,4
ENSGDEMO000643,GENE0643,7588,7,25,28,33,19,27
ENSGDEMO000644,GENE0644,4082,0,1,1,2,0,2
ENSGDEMO000645,GENE0645,2939,29,36,38,92,19,36
ENSGDEMO000646,GENE0646,7510,51,190,231,136,58,76
ENSGDEMO000647,GENE0647,7573,454,165,189,555,439,568
ENSGDEMO000648,GENE0648,5549,37,44,68,70,38,50
ENSGDEMO000649,GENE0649,1857,84,190,96,192,169,152
ENSGDEMO000650,GENE0650,7249,148,98,167,294,136,420
ENSGDEMO000651,GENE0651,3505,37,44,54,69,70,74
ENSGDEMO000652,GENE0652,1661,89,188,97,292,129,212
ENSGDEMO000653,GENE0653,1927,131,98,58,91,92,83
ENSGDEMO000654,GENE0654,7756,58,37,63,72,50,70
ENSGDEMO000655,GENE0655,6974,75,100,302,156,91,198
ENSGDEMO000656,GENE0656,3634,22,36,14,34,45,23
ENSGDEMO000657,GENE0657,1075,86,86,164,46,169,173
ENSGDEMO000658,GENE0658,2522,219,264,246,294,218,613
ENSGDEMO000659,GENE0659,4536,14,48,19,50,19,30
ENSGDEMO000660,GENE0660,4712,71,87,122,91,52,87
ENSGDEMO000661,GENE0661,4672,117,156,133,110,89,149
ENSGDEMO000662,GENE0662,2533,94,82,93,163,54,149
ENSGDEMO000663,GENE0663,2299,40,36,23,22,15,13
ENSGDEMO000664,GENE0664,3279,288,167,101,127,92,189
ENSGDEMO000665,GENE0665,7012,26,46,42,46,19,66
ENSGDEMO000666,GENE0666,2261,136,488,115,494,241,330
ENSGDEMO000667,GENE0667,4927,128,44,102,121,56,59
ENSGDEMO000668,GENE0668,6950,83,85,113,112,97,118
ENSGDEMO000669,GENE0669,4333,25,2,16,13,14,26
ENSGDEMO000670,GENE0670,3662,376,670,519,199,283,570
ENSGDEMO000671,GENE0671,2914,50,36,55,34,33,15
ENSGDEMO000672,GENE0672,5690,56,70,77,80,53,140
ENSGDEMO000673,GENE0673,3489,3,1,1,3,2,1
ENSGDEMO000674,GENE0674,753,487,270,532,404,462,473
ENSGDEMO000675,GENE0675,4512,73,224,99,121,169,124
ENSGDEMO000676,GENE0676,5259,374,687,452,812,399,643
ENSGDEMO000677,GENE0677,7420,335,132,211,455,188,193
ENSGDEMO000678,GENE0678,4838,104,23,78,144,49,58
ENSGDEMO000679,GENE0679,5798,65,283,53,147,78,161
ENSGDEMO000680,GENE0680,7961,42,109,171,196,75,63
ENSGDEMO000681,GENE0681,7478,172,145,79,411,85,290
ENSGDEMO000682,GENE0682,954,40,36,91,67,21,30
ENSGDEMO000683,GENE0683,6263,31,27,21,33,19,19
ENSGDEMO000684,GENE0684,2675,138,337,388,299,302,638
ENSGDEMO000685,GENE0685,6300,31,75,77,78,34,176
ENSGDEMO000686,GENE0686,1896,71,103,116,92,166,318
ENSGDEMO000687,GENE0687,6261,621,516,756,676,184,689
ENSGDEMO000688,GENE0688,4663,202,243,595,346,171,281
ENSGDEMO000689,GENE0689,5160,118,184,173,269,279,195
ENSGDEMO000690,GENE0690,1169,36,151,97,108,34,336
ENSGDEMO000691,GENE0691,2381,85,112,94,127,134,78
ENSGDEMO000692,GENE0692,4822,313,236,114,317,88,377
ENSGDEMO000693,GENE0693,6488,297,474,234,444,280,522
ENSGDEMO000694,GENE0694,5848,9,33,16,27,19,15
ENSGDEMO000695,GENE0695,4307,192,94,161,214,157,299
ENSGDEMO000696,GENE0696,6174,39,109,73,86,14,46
ENSGDEMO000697,GENE0697,7501,63,97,28,87,40,89
ENSGDEMO000698,GENE0698,7620,106,97,165,272,104,145
ENSGDEMO000699,GENE0699,6870,94,90,93,396,99,148
ENSGDEMO000700,GENE0700,3947,81,82,44,150,106,121
ENSGDEMO000701,GENE0701,3026,147,551,412,292,177,741
ENSGDEMO000702,GENE0702,5767,83,72,97,320,166,148
ENSGDEMO000703,GENE0703,963,4,39,13,23,14,13
ENSGDEMO000704,GENE0704,7670,114,156,193,74,259,194
ENSGDEMO000705,GENE0705,3979,66,63,23,77,11,127
ENSGDEMO000706,GENE0706,952,243,287,179,204,193,175
ENSGDEMO000707,GENE0707,5827,27,61,209,124,37,40
ENSGDEMO000708,GENE0708,4556,324,538,502,275,171,158
ENSGDEMO000709,GENE0709,6824,56,220,104,319,153,284
ENSGDEMO000710,GENE0710,6567,25,62,73,54,45,31
ENSGDEMO000711,GENE0711,3660,132,147,256,147,160,217
ENSGDEMO000712,GENE0712,2383,128,106,112,277,45,72
ENSGDEMO000713,GENE0713,3769,103,253,112,172,110,148
ENSGDEMO000714,GENE0714,2070,42,90,130,153,143,161
ENSGDEMO000715,GENE0715,3887,6,28,17,47,14,32
ENSGDEMO000716,GENE0716,4785,9,2,7,6,1,6
ENSGDEMO000717,GENE0717,1922,25,10,15,29,11,17
ENSGDEMO000718,GENE0718,7430,41,22,16,78,22,44
ENSGDEMO000719,GENE0719,4858,352,475,347,965,300,756
ENSGDEMO000720,GENE0720,507,65,91,103,96,45,88
ENSGDEMO000721,GENE0721,1797,294,214,206,312,255,417
ENSGDEMO000722,GENE0722,1324,48,65,28,76,56,118
ENSGDEMO000723,GENE0723,4085,135,77,78,67,28,235
ENSGDEMO000724,GENE0724,5141,157,210,305,407,341,504
ENSGDEMO000725,GENE0725,1852,21,28,18,23,11,30
ENSGDEMO000726,GENE0726,7922,145,99,40,142,114,131
ENSGDEMO000727,GENE0727,6725,104,97,248,178,98,94
ENSGDEMO000728,GENE0728,5611,118,299,159,208,194,145
ENSGDEMO000729,GENE0729,3292,151,251,132,248,134,279
ENSGDEMO000730,GENE0730,6699,52,208,145,148,47,190
ENSGDEMO000731,GENE0731,5627,25,69,36,25,54,93
ENSGDEMO000732,GENE0732,5792,68,129,92,186,83,100
ENSGDEMO000733,GENE0733,4184,149,423,195,390,254,327
ENSGDEMO000734,GENE0734,3873,66,35,23,141,65,97
ENSGDEMO000735,GENE0735,4309,119,88,156,153,147,184
ENSGDEMO000736,GENE0736,3266,153,203,290,404,171,220
ENSGDEMO000737,GENE0737,4678,120,126,293,326,119,347
ENSGDEMO000738,GENE0738,4388,42,74,110,34,61,69
ENSGDEMO000739,GENE0739,6890,19,12,13,12,9,5
ENSGDEMO000740,GENE0740,6949,45,88,70,152,27,165
ENSGDEMO000741,GENE0741,4594,222,224,172,209,114,184
ENSGDEMO000742,GENE0742,4603,51,26,16,85,23,68
ENSGDEMO000743,GENE0743,2301,44,18,65,45,62,64
ENSGDEMO000744,GENE0744,1238,93,98,97,111,63,227
ENSGDEMO000745,GENE0745,2870,186,167,304,388,180,231
ENSGDEMO000746,GENE0746,6655,208,276,288,293,234,436
ENSGDEMO000747,GENE0747,1060,47,49,72,78,30,63
ENSGDEMO000748,GENE0748,3193,45,53,23,390,87,88
ENSGDEMO000749,GENE0749,6154,46,50,57,88,91,47
ENSGDEMO000750,GENE0750,3082,58,74,64,31,68,122
ENSGDEMO000751,GENE0751,4150,30,79,54,31,12,42
ENSGDEMO000752,GENE0752,5435,210,111,433,213,98,274
ENSGDEMO000753,GENE0753,7584,192,1071,280,76,387,327
ENSGDEMO000754,GENE0754,5213,13,15,39,49,14,34
ENSGDEMO000755,GENE0755,1564,303,353,421,178,137,385
ENSGDEMO000756,GENE0756,2599,263,126,236,239,36,116
ENSGDEMO000757,GENE0757,5148,48,125,99,33,35,53
ENSGDEMO000758,GENE0758,1242,486,255,232,381,112,653
ENSGDEMO000759,GENE0759,6451,6,22,17,29,30,21
ENSGDEMO000760,GENE0760,5805,49,94,19,87,89,141
ENSGDEMO000761,GENE0761,2589,30,20,29,27,26,21
ENSGDEMO000762,GENE0762,5078,115,205,40,110,66,195
ENSGDEMO000763,GENE0763,2494,51,248,53,380,77,133
ENSGDEMO000764,GENE0764,693,34,12,20,59,25,20
ENSGDEMO000765,GENE0765,941,113,461,238,173,224,192
ENSGDEMO000766,GENE0766,3448,133,283,386,207,215,209
ENSGDEMO000767,GENE0767,754,194,231,149,271,178,115
ENSGDEMO000768,GENE0768,878,10,13,31,12,31,14
ENSGDEMO000769,GENE0769,4107,90,193,155,231,117,135
ENSGDEMO000770,GENE0770,1672,102,152,48,167,100,116
ENSGDEMO000771,GENE0771,5690,134,190,137,216,73,137
ENSGDEMO000772,GENE0772,6621,65,47,88,106,64,79
ENSGDEMO000773,GENE0773,1291,359,614,299,1050,291,390
ENSGDEMO000774,GENE0774,1374,108,96,154,194,99,142
ENSGDEMO000775,GENE0775,5369,69,183,173,78,246,135
ENSGDEMO000776,GENE0776,1422,106,203,125,235,153,158
ENSGDEMO000777,GENE0777,6155,189,314,146,320,419,140
ENSGDEMO000778,GENE0778,5491,62,31,56,160,86,42
ENSGDEMO000779,GENE0779,4935,93,46,46,107,69,149
ENSGDEMO000780,GENE0780,5855,535,467,322,524,777,839
ENSGDEMO000781,GENE0781,7114,31,17,28,27,26,37
ENSGDEMO000782,GENE0782,5538,64,57,82,209,42,31
ENSGDEMO000783,GENE0783,2359,178,544,477,419,299,395
ENSGDEMO000784,GENE0784,2412,16,146,87,227,47,199
ENSGDEMO000785,GENE0785,5754,127,355,222,352,196,110
ENSGDEMO000786,GENE0786,7011,195,304,131,67,207,294
ENSGDEMO000787,GENE0787,4496,284,602,210,248,149,274
ENSGDEMO000788,GENE0788,6349,119,316,159,124,93,364
ENSGDEMO000789,GENE0789,6189,146,248,338,138,169,74
ENSGDEMO000790,GENE0790,2102,137,92,63,412,93,199
ENSGDEMO000791,GENE0791,2235,157,388,130,356,63,244
ENSGDEMO000792,GENE0792,4406,126,200,126,122,104,108
ENSGDEMO000793,GENE0793,2948,52,127,119,294,141,216
ENSGDEMO000794,GENE0794,5324,4,18,23,26,29,43
ENSGDEMO000795,GENE0795,4547,148,318,152,298,330,219
ENSGDEMO000796,GENE0796,7065,98,264,37,153,81,81
ENSGDEMO000797,GENE0797,7786,392,546,524,544,350,445
ENSGDEMO000798,GENE0798,2115,10,29,41,53,21,40
ENSGDEMO000799,GENE0799,4789,17,48,80,43,42,89
ENSGDEMO000800,GENE0800,1643,66,300,499,342,141,236
ENSGDEMO000801,GENE0801,958,40,66,63,104,47,81
ENSGDEMO000802,GENE0802,5888,224,239,276,243,180,237
ENSGDEMO000803,GENE0803,2261,69,52,71,112,184,170
ENSGDEMO000804,GENE0804,5258,97,182,152,210,142,189
ENSGDEMO000805,GENE0805,5763,479,342,860,875,261,500
ENSGDEMO000806,GENE0806,6592,59,91,59,164,87,104
ENSGDEMO000807,GENE0807,6623,55,38,128,92,71,197
ENSGDEMO000808,GENE0808,6238,17,7,12,17,24,16
ENSGDEMO000809,GENE0809,641,93,66,38,80,70,84
ENSGDEMO000810,GENE0810,6880,136,169,54,190,108,64
ENSGDEMO000811,GENE0811,6687,11,25,34,23,40,27
ENSGDEMO000812,GENE0812,6191,11,71,33,24,48,39
ENSGDEMO000813,GENE0813,4199,48,182,139,38,81,75
ENSGDEMO000814,GENE0814,5292,32,39,90,160,68,88
ENSGDEMO000815,GENE0815,1145,47,154,187,200,70,151
ENSGDEMO000816,GENE0816,3832,91,112,112,187,93,106
ENSGDEMO000817,GENE0817,5175,26,59,23,110,16,43
ENSGDEMO000818,GENE0818,2607,30,98,56,98,34,93
ENSGDEMO000819,GENE0819,1180,346,612,927,284,271,560
ENSGDEMO000820,GENE0820,6071,61,83,93,117,55,41
ENSGDEMO000821,GENE0821,6919,21,18,39,30,7,48
ENSGDEMO000822,GENE0822,7710,105,85,31,99,53,129
ENSGDEMO000823,GENE0823,925,82,123,20,166,100,94
ENSGDEMO000824,GENE0824,6339,129,208,168,596,199,228
ENSGDEMO000825,GENE0825,3553,65,53,137,326,177,408
ENSGDEMO000826,GENE0826,2782,47,46,27,50,33,53
ENSGDEMO000827,GENE0827,1334,119,102,64,203,105,206
ENSGDEMO000828,GENE0828,6967,27,84,68,95,76,99
ENSGDEMO000829,GENE0829,6659,312,211,366,930,414,731
ENSGDEMO000830,GENE0830,4420,120,504,390,607,316,491
ENSGDEMO000831,GENE0831,5497,113,227,78,373,235,189
ENSGDEMO000832,GENE0832,3504,103,250,35,368,167,172
ENSGDEMO000833,GENE0833,3220,73,83,88,493,141,216
ENSGDEMO000834,GENE0834,3942,266,591,362,482,734,386
ENSGDEMO000835,GENE0835,7602,23,29,11,47,19,9
ENSGDEMO000836,GENE0836,2151,23,24,15,31,34,9
ENSGDEMO000837,GENE0837,7842,54,268,144,129,133,229
ENSGDEMO000838,GENE0838,7329,4,12,7,25,5,8
ENSGDEMO000839,GENE0839,5721,110,129,105,349,117,130
ENSGDEMO000840,GENE0840,806,56,43,69,73,50,60
ENSGDEMO000841,GENE0841,2023,39,28,78,53,33,82
ENSGDEMO000842,GENE0842,2873,162,293,218,214,84,164
ENSGDEMO000843,GENE0843,2758,127,90,184,252,83,183
ENSGDEMO000844,GENE0844,981,26,34,36,98,76,44
ENSGDEMO000845,GENE0845,1512,210,344,299,499,183,78
ENSGDEMO000846,GENE0846,3949,53,44,42,40,41,119
ENSGDEMO000847,GENE0847,1409,85,361,130,94,14,164
ENSGDEMO000848,GENE0848,4886,148,161,243,84,35,163
ENSGDEMO000849,GENE0849,3171,20,52,26,65,50,45
ENSGDEMO000850,GENE0850,1890,286,207,248,439,233,362
ENSGDEMO000851,GENE0851,4431,76,189,125,126,54,112
ENSGDEMO000852,GENE0852,2265,308,410,235,580,514,182
ENSGDEMO000853,GENE0853,2114,209,107,166,324,211,155
ENSGDEMO000854,GENE0854,5070,88,187,66,255,159,284
ENSGDEMO000855,GENE0855,5751,48,82,91,76,95,88
ENSGDEMO000856,GENE0856,7093,15,35,87,26,46,99
ENSGDEMO000857,GENE0857,3780,67,51,198,98,129,120
ENSGDEMO000858,GENE0858,5421,49,28,99,34,64,123
ENSGDEMO000859,GENE0859,1190,44,94,104,79,28,173
ENSGDEMO000860,GENE0860,6402,35,44,34,45,48,80
ENSGDEMO000861,GENE0861,720,124,134,97,61,65,194
ENSGDEMO000862,GENE0862,3202,138,383,351,344,178,135
ENSGDEMO000863,GENE0863,1627,350,827,439,177,392,594
ENSGDEMO000864,GENE0864,7753,81,138,96,102,117,83
ENSGDEMO000865,GENE0865,2608,78,80,122,158,56,157
ENSGDEMO000866,GENE0866,2942,6,18,15,11,14,15
ENSGDEMO000867,GENE0867,5270,130,122,72,107,72,177
ENSGDEMO000868,GENE0868,651,32,65,90,114,35,87
ENSGDEMO000869,GENE0869,4720,74,47,48,296,26,41
ENSGDEMO000870,GENE0870,2258,147,197,356,408,156,332
